;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 19/09/2020 05:10:25 p. m.
;----------------------------------------------

;Address Opcode 	ASM
0x0043	0x0859      	MOVF       _cntUser, 0
0x0044	0x00F0      	MOVWF      R0
0x0045	0x085A      	MOVF       _cntUser+1, 0
0x0046	0x00F1      	MOVWF      R0+1
0x0047	0x085B      	MOVF       _cntUser+2, 0
0x0048	0x00F2      	MOVWF      R0+2
0x0049	0x085C      	MOVF       _cntUser+3, 0
0x004A	0x00F3      	MOVWF      R0+3
0x004B	0x0AF0      	INCF       R0, 1
0x004C	0x1903      	BTFSC      STATUS, 2
0x004D	0x0AF1      	INCF       R0+1, 1
0x004E	0x1903      	BTFSC      STATUS, 2
0x004F	0x0AF2      	INCF       R0+2, 1
0x0050	0x1903      	BTFSC      STATUS, 2
0x0051	0x0AF3      	INCF       R0+3, 1
0x0052	0x0870      	MOVF       R0, 0
0x0053	0x00D9      	MOVWF      _cntUser
0x0054	0x0871      	MOVF       R0+1, 0
0x0055	0x00DA      	MOVWF      _cntUser+1
0x0056	0x0872      	MOVF       R0+2, 0
0x0057	0x00DB      	MOVWF      _cntUser+2
0x0058	0x0873      	MOVF       R0+3, 0
0x0059	0x00DC      	MOVWF      _cntUser+3
;PI.c,289 :: 		cnt=0;
0x005A	0x01A7      	CLRF       _cnt
0x005B	0x01A8      	CLRF       _cnt+1
0x005C	0x01A9      	CLRF       _cnt+2
0x005D	0x01AA      	CLRF       _cnt+3
;PI.c,290 :: 		}
L_interrupt61:
;PI.c,291 :: 		if(cntUser==tope){
0x005E	0x085C      	MOVF       _cntUser+3, 0
0x005F	0x0668      	XORWF      _tope+3, 0
0x0060	0x1D03      	BTFSS      STATUS, 2
0x0061	0x286C      	GOTO       L__interrupt128
0x0062	0x085B      	MOVF       _cntUser+2, 0
0x0063	0x0667      	XORWF      _tope+2, 0
0x0064	0x1D03      	BTFSS      STATUS, 2
0x0065	0x286C      	GOTO       L__interrupt128
0x0066	0x085A      	MOVF       _cntUser+1, 0
0x0067	0x0666      	XORWF      _tope+1, 0
0x0068	0x1D03      	BTFSS      STATUS, 2
0x0069	0x286C      	GOTO       L__interrupt128
0x006A	0x0859      	MOVF       _cntUser, 0
0x006B	0x0665      	XORWF      _tope, 0
L__interrupt128:
0x006C	0x1D03      	BTFSS      STATUS, 2
0x006D	0x2875      	GOTO       L_interrupt62
;PI.c,292 :: 		RB1_bit=~RB1_bit;
0x006E	0x3002      	MOVLW      2
0x006F	0x0686      	XORWF      RB1_bit, 1
;PI.c,293 :: 		OPTION_REG = 0x00;
0x0070	0x1683      	BSF        STATUS, 5
0x0071	0x0181      	CLRF       OPTION_REG
;PI.c,294 :: 		TMR0 = 0;
0x0072	0x1283      	BCF        STATUS, 5
0x0073	0x0181      	CLRF       TMR0
;PI.c,295 :: 		INTCON = 0x00;
0x0074	0x018B      	CLRF       INTCON
;PI.c,296 :: 		}
L_interrupt62:
;PI.c,297 :: 		}
L_interrupt60:
;PI.c,298 :: 		}
L_end_interrupt:
L__interrupt126:
0x0075	0x0824      	MOVF       36, 0
0x0076	0x00F0      	MOVWF      R0
0x0077	0x0823      	MOVF       35, 0
0x0078	0x00F1      	MOVWF      R1
0x0079	0x0822      	MOVF       34, 0
0x007A	0x00F2      	MOVWF      R2
0x007B	0x0821      	MOVF       33, 0
0x007C	0x00F3      	MOVWF      R3
0x007D	0x1683      	BSF        STATUS, 5
0x007E	0x1703      	BSF        STATUS, 6
0x007F	0x0857      	MOVF       ___savePCLATH, 0
0x0080	0x008A      	MOVWF      PCLATH
0x0081	0x0E55      	SWAPF      ___saveSTATUS, 0
0x0082	0x0083      	MOVWF      STATUS
0x0083	0x0EFF      	SWAPF      R15, 1
0x0084	0x0E7F      	SWAPF      R15, 0
0x0085	0x0009      	RETFIE
; end of _interrupt
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0086	0x0000      	NOP
0x0087	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0088	0x0008      	RETURN
; end of _Delay_1us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0089	0x3021      	MOVLW      33
0x008A	0x1283      	BCF        STATUS, 5
0x008B	0x1303      	BCF        STATUS, 6
0x008C	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x008D	0x0BFD      	DECFSZ     R13, 1
0x008E	0x288D      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x008F	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0090	0x300F      	MOVLW      15
0x0091	0x1283      	BCF        STATUS, 5
0x0092	0x1303      	BCF        STATUS, 6
0x0093	0x00FC      	MOVWF      R12
0x0094	0x3047      	MOVLW      71
0x0095	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x0096	0x0BFD      	DECFSZ     R13, 1
0x0097	0x2896      	GOTO       L_Delay_5500us5
0x0098	0x0BFC      	DECFSZ     R12, 1
0x0099	0x2896      	GOTO       L_Delay_5500us5
0x009A	0x0000      	NOP
0x009B	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x009C	0x0008      	RETURN
; end of _Delay_5500us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x009D	0x1683      	BSF        STATUS, 5
0x009E	0x1703      	BSF        STATUS, 6
0x009F	0x1BEF      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00A0	0x28A5      	GOTO       L__Lcd_Cmd21
0x00A1	0x1283      	BCF        STATUS, 5
0x00A2	0x1303      	BCF        STATUS, 6
0x00A3	0x1106      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00A4	0x28A8      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00A5	0x1283      	BCF        STATUS, 5
0x00A6	0x1303      	BCF        STATUS, 6
0x00A7	0x1506      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00A8	0x1683      	BSF        STATUS, 5
0x00A9	0x1703      	BSF        STATUS, 6
0x00AA	0x1B6F      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00AB	0x28B0      	GOTO       L__Lcd_Cmd23
0x00AC	0x1283      	BCF        STATUS, 5
0x00AD	0x1303      	BCF        STATUS, 6
0x00AE	0x1186      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00AF	0x28B3      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00B0	0x1283      	BCF        STATUS, 5
0x00B1	0x1303      	BCF        STATUS, 6
0x00B2	0x1586      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00B3	0x1683      	BSF        STATUS, 5
0x00B4	0x1703      	BSF        STATUS, 6
0x00B5	0x1AEF      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00B6	0x28BB      	GOTO       L__Lcd_Cmd25
0x00B7	0x1283      	BCF        STATUS, 5
0x00B8	0x1303      	BCF        STATUS, 6
0x00B9	0x1206      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00BA	0x28BE      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00BB	0x1283      	BCF        STATUS, 5
0x00BC	0x1303      	BCF        STATUS, 6
0x00BD	0x1606      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00BE	0x1683      	BSF        STATUS, 5
0x00BF	0x1703      	BSF        STATUS, 6
0x00C0	0x1A6F      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00C1	0x28C6      	GOTO       L__Lcd_Cmd27
0x00C2	0x1283      	BCF        STATUS, 5
0x00C3	0x1303      	BCF        STATUS, 6
0x00C4	0x1286      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00C5	0x28C9      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00C6	0x1283      	BCF        STATUS, 5
0x00C7	0x1303      	BCF        STATUS, 6
0x00C8	0x1686      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00C9	0x1683      	BSF        STATUS, 5
0x00CA	0x1703      	BSF        STATUS, 6
0x00CB	0x1845      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00CC	0x28D1      	GOTO       L__Lcd_Cmd29
0x00CD	0x1283      	BCF        STATUS, 5
0x00CE	0x1303      	BCF        STATUS, 6
0x00CF	0x1786      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00D0	0x28D4      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00D1	0x1283      	BCF        STATUS, 5
0x00D2	0x1303      	BCF        STATUS, 6
0x00D3	0x1386      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00D4	0x1706      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00D5	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00D6	0x1306      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00D7	0x1683      	BSF        STATUS, 5
0x00D8	0x1703      	BSF        STATUS, 6
0x00D9	0x19EF      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00DA	0x28DF      	GOTO       L__Lcd_Cmd31
0x00DB	0x1283      	BCF        STATUS, 5
0x00DC	0x1303      	BCF        STATUS, 6
0x00DD	0x1106      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00DE	0x28E2      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00DF	0x1283      	BCF        STATUS, 5
0x00E0	0x1303      	BCF        STATUS, 6
0x00E1	0x1506      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00E2	0x1683      	BSF        STATUS, 5
0x00E3	0x1703      	BSF        STATUS, 6
0x00E4	0x196F      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00E5	0x28EA      	GOTO       L__Lcd_Cmd33
0x00E6	0x1283      	BCF        STATUS, 5
0x00E7	0x1303      	BCF        STATUS, 6
0x00E8	0x1186      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00E9	0x28ED      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00EA	0x1283      	BCF        STATUS, 5
0x00EB	0x1303      	BCF        STATUS, 6
0x00EC	0x1586      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00ED	0x1683      	BSF        STATUS, 5
0x00EE	0x1703      	BSF        STATUS, 6
0x00EF	0x18EF      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00F0	0x28F5      	GOTO       L__Lcd_Cmd35
0x00F1	0x1283      	BCF        STATUS, 5
0x00F2	0x1303      	BCF        STATUS, 6
0x00F3	0x1206      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00F4	0x28F8      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00F5	0x1283      	BCF        STATUS, 5
0x00F6	0x1303      	BCF        STATUS, 6
0x00F7	0x1606      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00F8	0x1683      	BSF        STATUS, 5
0x00F9	0x1703      	BSF        STATUS, 6
0x00FA	0x186F      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00FB	0x2900      	GOTO       L__Lcd_Cmd37
0x00FC	0x1283      	BCF        STATUS, 5
0x00FD	0x1303      	BCF        STATUS, 6
0x00FE	0x1286      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00FF	0x2903      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x0100	0x1283      	BCF        STATUS, 5
0x0101	0x1303      	BCF        STATUS, 6
0x0102	0x1686      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x0103	0x1683      	BSF        STATUS, 5
0x0104	0x1703      	BSF        STATUS, 6
0x0105	0x1845      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0106	0x290B      	GOTO       L__Lcd_Cmd39
0x0107	0x1283      	BCF        STATUS, 5
0x0108	0x1303      	BCF        STATUS, 6
0x0109	0x1786      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x010A	0x290E      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x010B	0x1283      	BCF        STATUS, 5
0x010C	0x1303      	BCF        STATUS, 6
0x010D	0x1386      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x010E	0x1706      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x010F	0x2086      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x0110	0x1306      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x0111	0x1683      	BSF        STATUS, 5
0x0112	0x1703      	BSF        STATUS, 6
0x0113	0x1C45      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0114	0x2917      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x0115	0x2090      	CALL       _Delay_5500us
0x0116	0x2918      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x0117	0x2089      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0118	0x0008      	RETURN
; end of _Lcd_Cmd
_Div_32x32_U:
;__Lib_Math.c,1318 :: 		
;__Lib_Math.c,1327 :: 		
;__Lib_Math.c,1329 :: 		
0x0119	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,1330 :: 		
0x011A	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,1331 :: 		
0x011B	0x01FB      	CLRF       R11
;__Lib_Math.c,1332 :: 		
0x011C	0x01FA      	CLRF       R10
;__Lib_Math.c,1333 :: 		
0x011D	0x01F9      	CLRF       R9
;__Lib_Math.c,1334 :: 		
0x011E	0x01F8      	CLRF       R8
;__Lib_Math.c,1336 :: 		
0x011F	0x01A0      	CLRF       ___math_tempb
;__Lib_Math.c,1338 :: 		
0x0120	0x0D73      	RLF        R3, 0
;__Lib_Math.c,1339 :: 		
0x0121	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1340 :: 		
0x0122	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1341 :: 		
0x0123	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1342 :: 		
0x0124	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1343 :: 		
0x0125	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1344 :: 		
0x0126	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1345 :: 		
0x0127	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1346 :: 		
0x0128	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1347 :: 		
0x0129	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1348 :: 		
0x012A	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1349 :: 		
0x012B	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1350 :: 		
0x012C	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1351 :: 		
0x012D	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1352 :: 		
0x012E	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1353 :: 		
0x012F	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1355 :: 		
0x0130	0x0100      	CLRW
;__Lib_Math.c,1356 :: 		
0x0131	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1357 :: 		
0x0132	0x3001      	MOVLW      1
;__Lib_Math.c,1358 :: 		
0x0133	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1359 :: 		
0x0134	0x0DF3      	RLF        R3, 1
;__Lib_Math.c,1361 :: 		
0x0135	0x3007      	MOVLW      7
;__Lib_Math.c,1362 :: 		
0x0136	0x00FC      	MOVWF      R12
;__Lib_Math.c,1364 :: 		
LOOPU3232A:
;__Lib_Math.c,1365 :: 		
0x0137	0x0D73      	RLF        R3, 0
;__Lib_Math.c,1366 :: 		
0x0138	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1367 :: 		
0x0139	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1368 :: 		
0x013A	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1369 :: 		
0x013B	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1370 :: 		
0x013C	0x0DA0      	RLF        ___math_tempb, 1
;__Lib_Math.c,1371 :: 		
0x013D	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1372 :: 		
0x013E	0x1C73      	BTFSS      R3, 0
;__Lib_Math.c,1373 :: 		
0x013F	0x2952      	GOTO       UADD22LA
;__Lib_Math.c,1375 :: 		
0x0140	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1376 :: 		
0x0141	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1377 :: 		
0x0142	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1378 :: 		
0x0143	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1379 :: 		
0x0144	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1380 :: 		
0x0145	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1381 :: 		
0x0146	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1382 :: 		
0x0147	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1383 :: 		
0x0148	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1384 :: 		
0x0149	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1385 :: 		
0x014A	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1386 :: 		
0x014B	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1387 :: 		
0x014C	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1388 :: 		
0x014D	0x0100      	CLRW
;__Lib_Math.c,1389 :: 		
0x014E	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1390 :: 		
0x014F	0x3001      	MOVLW      1
;__Lib_Math.c,1391 :: 		
0x0150	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1392 :: 		
0x0151	0x2963      	GOTO       UOK22LA
;__Lib_Math.c,1394 :: 		
UADD22LA:
;__Lib_Math.c,1395 :: 		
0x0152	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1396 :: 		
0x0153	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1397 :: 		
0x0154	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1398 :: 		
0x0155	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1399 :: 		
0x0156	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1400 :: 		
0x0157	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1401 :: 		
0x0158	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1402 :: 		
0x0159	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1403 :: 		
0x015A	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1404 :: 		
0x015B	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1405 :: 		
0x015C	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1406 :: 		
0x015D	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1407 :: 		
0x015E	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1408 :: 		
0x015F	0x0100      	CLRW
;__Lib_Math.c,1409 :: 		
0x0160	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1410 :: 		
0x0161	0x3001      	MOVLW      1
;__Lib_Math.c,1411 :: 		
0x0162	0x07A0      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1413 :: 		
UOK22LA:
;__Lib_Math.c,1414 :: 		
0x0163	0x0DF3      	RLF        R3, 1
;__Lib_Math.c,1416 :: 		
0x0164	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,1417 :: 		
0x0165	0x2937      	GOTO       LOOPU3232A
;__Lib_Math.c,1419 :: 		
0x0166	0x0D72      	RLF        R2, 0
;__Lib_Math.c,1420 :: 		
0x0167	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1421 :: 		
0x0168	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1422 :: 		
0x0169	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1423 :: 		
0x016A	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1424 :: 		
0x016B	0x0DA0      	RLF        ___math_tempb, 1
;__Lib_Math.c,1425 :: 		
0x016C	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1426 :: 		
0x016D	0x1C73      	BTFSS      R3, 0
;__Lib_Math.c,1427 :: 		
0x016E	0x2981      	GOTO       UADD22L8
;__Lib_Math.c,1429 :: 		
0x016F	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1430 :: 		
0x0170	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1431 :: 		
0x0171	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1432 :: 		
0x0172	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1433 :: 		
0x0173	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1434 :: 		
0x0174	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1435 :: 		
0x0175	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1436 :: 		
0x0176	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1437 :: 		
0x0177	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1438 :: 		
0x0178	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1439 :: 		
0x0179	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1440 :: 		
0x017A	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1441 :: 		
0x017B	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1442 :: 		
0x017C	0x0100      	CLRW
;__Lib_Math.c,1443 :: 		
0x017D	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1444 :: 		
0x017E	0x3001      	MOVLW      1
;__Lib_Math.c,1445 :: 		
0x017F	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1446 :: 		
0x0180	0x2992      	GOTO       UOK22L8
;__Lib_Math.c,1448 :: 		
UADD22L8:
;__Lib_Math.c,1449 :: 		
0x0181	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1450 :: 		
0x0182	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1451 :: 		
0x0183	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1452 :: 		
0x0184	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1453 :: 		
0x0185	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1454 :: 		
0x0186	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1455 :: 		
0x0187	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1456 :: 		
0x0188	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1457 :: 		
0x0189	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1458 :: 		
