;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 19/09/2020 06:13:14 p. m.
;----------------------------------------------

;Address Opcode 	ASM
0x002D	0x0873      	MOVF       R0+3, 0
0x002E	0x00D0      	MOVWF      _cnt+3
;ProyectoIntegrador.c,85 :: 		TMR0IF_bit         = 0;
0x002F	0x110B      	BCF        TMR0IF_bit, BitPos(TMR0IF_bit+0)
;ProyectoIntegrador.c,86 :: 		TMR0                 = 6;
0x0030	0x3006      	MOVLW      6
0x0031	0x1283      	BCF        STATUS, 5
0x0032	0x0081      	MOVWF      TMR0
;ProyectoIntegrador.c,88 :: 		if(cnt>1000){
0x0033	0x1683      	BSF        STATUS, 5
0x0034	0x0850      	MOVF       _cnt+3, 0
0x0035	0x3C00      	SUBLW      0
0x0036	0x1D03      	BTFSS      STATUS, 2
0x0037	0x2842      	GOTO       L__interrupt110
0x0038	0x084F      	MOVF       _cnt+2, 0
0x0039	0x3C00      	SUBLW      0
0x003A	0x1D03      	BTFSS      STATUS, 2
0x003B	0x2842      	GOTO       L__interrupt110
0x003C	0x084E      	MOVF       _cnt+1, 0
0x003D	0x3C03      	SUBLW      3
0x003E	0x1D03      	BTFSS      STATUS, 2
0x003F	0x2842      	GOTO       L__interrupt110
0x0040	0x084D      	MOVF       _cnt, 0
0x0041	0x3CE8      	SUBLW      232
L__interrupt110:
0x0042	0x1803      	BTFSC      STATUS, 0
0x0043	0x2863      	GOTO       L_interrupt2
;ProyectoIntegrador.c,89 :: 		cntUser++;
0x0044	0x1283      	BCF        STATUS, 5
0x0045	0x0864      	MOVF       _cntUser, 0
0x0046	0x00F0      	MOVWF      R0
0x0047	0x0865      	MOVF       _cntUser+1, 0
0x0048	0x00F1      	MOVWF      R0+1
0x0049	0x0866      	MOVF       _cntUser+2, 0
0x004A	0x00F2      	MOVWF      R0+2
0x004B	0x0867      	MOVF       _cntUser+3, 0
0x004C	0x00F3      	MOVWF      R0+3
0x004D	0x0AF0      	INCF       R0, 1
0x004E	0x1903      	BTFSC      STATUS, 2
0x004F	0x0AF1      	INCF       R0+1, 1
0x0050	0x1903      	BTFSC      STATUS, 2
0x0051	0x0AF2      	INCF       R0+2, 1
0x0052	0x1903      	BTFSC      STATUS, 2
0x0053	0x0AF3      	INCF       R0+3, 1
0x0054	0x0870      	MOVF       R0, 0
0x0055	0x00E4      	MOVWF      _cntUser
0x0056	0x0871      	MOVF       R0+1, 0
0x0057	0x00E5      	MOVWF      _cntUser+1
0x0058	0x0872      	MOVF       R0+2, 0
0x0059	0x00E6      	MOVWF      _cntUser+2
0x005A	0x0873      	MOVF       R0+3, 0
0x005B	0x00E7      	MOVWF      _cntUser+3
;ProyectoIntegrador.c,90 :: 		RB0_bit=~RB0_bit;
0x005C	0x3001      	MOVLW      1
0x005D	0x0686      	XORWF      RB0_bit, 1
;ProyectoIntegrador.c,91 :: 		cnt=0;
0x005E	0x1683      	BSF        STATUS, 5
0x005F	0x01CD      	CLRF       _cnt
0x0060	0x01CE      	CLRF       _cnt+1
0x0061	0x01CF      	CLRF       _cnt+2
0x0062	0x01D0      	CLRF       _cnt+3
;ProyectoIntegrador.c,92 :: 		}
L_interrupt2:
;ProyectoIntegrador.c,93 :: 		if(cntUser==tope){
0x0063	0x3000      	MOVLW      0
0x0064	0x1283      	BCF        STATUS, 5
0x0065	0x1BE9      	BTFSC      _tope+1, 7
0x0066	0x30FF      	MOVLW      255
0x0067	0x00F0      	MOVWF      R0
0x0068	0x0667      	XORWF      _cntUser+3, 0
0x0069	0x1D03      	BTFSS      STATUS, 2
0x006A	0x2875      	GOTO       L__interrupt111
0x006B	0x0870      	MOVF       R0, 0
0x006C	0x0666      	XORWF      _cntUser+2, 0
0x006D	0x1D03      	BTFSS      STATUS, 2
0x006E	0x2875      	GOTO       L__interrupt111
0x006F	0x0869      	MOVF       _tope+1, 0
0x0070	0x0665      	XORWF      _cntUser+1, 0
0x0071	0x1D03      	BTFSS      STATUS, 2
0x0072	0x2875      	GOTO       L__interrupt111
0x0073	0x0864      	MOVF       _cntUser, 0
0x0074	0x0668      	XORWF      _tope, 0
L__interrupt111:
0x0075	0x1D03      	BTFSS      STATUS, 2
0x0076	0x287E      	GOTO       L_interrupt3
;ProyectoIntegrador.c,94 :: 		RB1_bit=~RB1_bit;
0x0077	0x3002      	MOVLW      2
0x0078	0x0686      	XORWF      RB1_bit, 1
;ProyectoIntegrador.c,95 :: 		OPTION_REG         = 0x00;
0x0079	0x1683      	BSF        STATUS, 5
0x007A	0x0181      	CLRF       OPTION_REG
;ProyectoIntegrador.c,96 :: 		TMR0                 = 0;
0x007B	0x1283      	BCF        STATUS, 5
0x007C	0x0181      	CLRF       TMR0
;ProyectoIntegrador.c,97 :: 		INTCON         = 0x00;
0x007D	0x018B      	CLRF       INTCON
;ProyectoIntegrador.c,98 :: 		}
L_interrupt3:
;ProyectoIntegrador.c,100 :: 		}
L_interrupt1:
;ProyectoIntegrador.c,102 :: 		}
L_end_interrupt:
L__interrupt109:
0x007E	0x0823      	MOVF       35, 0
0x007F	0x00F0      	MOVWF      R0
0x0080	0x0822      	MOVF       34, 0
0x0081	0x00F1      	MOVWF      R1
0x0082	0x0821      	MOVF       33, 0
0x0083	0x00F2      	MOVWF      R2
0x0084	0x0820      	MOVF       32, 0
0x0085	0x00F3      	MOVWF      R3
0x0086	0x1683      	BSF        STATUS, 5
0x0087	0x086D      	MOVF       ___savePCLATH, 0
0x0088	0x008A      	MOVWF      PCLATH
0x0089	0x0E6E      	SWAPF      ___saveSTATUS, 0
0x008A	0x0083      	MOVWF      STATUS
0x008B	0x0EFF      	SWAPF      R15, 1
0x008C	0x0E7F      	SWAPF      R15, 0
0x008D	0x0009      	RETFIE
; end of _interrupt
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x008E	0x0000      	NOP
0x008F	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0090	0x0008      	RETURN
; end of _Delay_1us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0091	0x300F      	MOVLW      15
0x0092	0x1283      	BCF        STATUS, 5
0x0093	0x1303      	BCF        STATUS, 6
0x0094	0x00FC      	MOVWF      R12
0x0095	0x3047      	MOVLW      71
0x0096	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x0097	0x0BFD      	DECFSZ     R13, 1
0x0098	0x2897      	GOTO       L_Delay_5500us5
0x0099	0x0BFC      	DECFSZ     R12, 1
0x009A	0x2897      	GOTO       L_Delay_5500us5
0x009B	0x0000      	NOP
0x009C	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x009D	0x0008      	RETURN
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x009E	0x3021      	MOVLW      33
0x009F	0x1283      	BCF        STATUS, 5
0x00A0	0x1303      	BCF        STATUS, 6
0x00A1	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x00A2	0x0BFD      	DECFSZ     R13, 1
0x00A3	0x28A2      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x00A4	0x0008      	RETURN
; end of _Delay_50us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00A5	0x1283      	BCF        STATUS, 5
0x00A6	0x1703      	BSF        STATUS, 6
0x00A7	0x1BAB      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00A8	0x28AB      	GOTO       L__Lcd_Cmd21
0x00A9	0x1106      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00AA	0x28AC      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00AB	0x1506      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00AC	0x1B2B      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00AD	0x28B0      	GOTO       L__Lcd_Cmd23
0x00AE	0x1186      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00AF	0x28B1      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00B0	0x1586      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00B1	0x1AAB      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00B2	0x28B5      	GOTO       L__Lcd_Cmd25
0x00B3	0x1206      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00B4	0x28B6      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00B5	0x1606      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00B6	0x1A2B      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00B7	0x28BA      	GOTO       L__Lcd_Cmd27
0x00B8	0x1286      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00B9	0x28BB      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00BA	0x1686      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00BB	0x1683      	BSF        STATUS, 5
0x00BC	0x1303      	BCF        STATUS, 6
0x00BD	0x186F      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00BE	0x28C2      	GOTO       L__Lcd_Cmd29
0x00BF	0x1283      	BCF        STATUS, 5
0x00C0	0x1786      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00C1	0x28C4      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00C2	0x1283      	BCF        STATUS, 5
0x00C3	0x1386      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00C4	0x1706      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00C5	0x208E      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00C6	0x1306      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00C7	0x1703      	BSF        STATUS, 6
0x00C8	0x19AB      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00C9	0x28CC      	GOTO       L__Lcd_Cmd31
0x00CA	0x1106      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00CB	0x28CD      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00CC	0x1506      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00CD	0x192B      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00CE	0x28D1      	GOTO       L__Lcd_Cmd33
0x00CF	0x1186      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00D0	0x28D2      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00D1	0x1586      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00D2	0x18AB      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00D3	0x28D6      	GOTO       L__Lcd_Cmd35
0x00D4	0x1206      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00D5	0x28D7      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00D6	0x1606      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00D7	0x182B      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00D8	0x28DB      	GOTO       L__Lcd_Cmd37
0x00D9	0x1286      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00DA	0x28DC      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x00DB	0x1686      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x00DC	0x1683      	BSF        STATUS, 5
0x00DD	0x1303      	BCF        STATUS, 6
0x00DE	0x186F      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00DF	0x28E3      	GOTO       L__Lcd_Cmd39
0x00E0	0x1283      	BCF        STATUS, 5
0x00E1	0x1786      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00E2	0x28E5      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x00E3	0x1283      	BCF        STATUS, 5
0x00E4	0x1386      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x00E5	0x1706      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x00E6	0x208E      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x00E7	0x1306      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x00E8	0x1683      	BSF        STATUS, 5
0x00E9	0x1C6F      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00EA	0x28ED      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x00EB	0x2091      	CALL       _Delay_5500us
0x00EC	0x28EE      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x00ED	0x209E      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x00EE	0x0008      	RETURN
; end of _Lcd_Cmd
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x00EF	0x1683      	BSF        STATUS, 5
0x00F0	0x1303      	BCF        STATUS, 6
0x00F1	0x106F      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x00F2	0x1283      	BCF        STATUS, 5
0x00F3	0x1703      	BSF        STATUS, 6
0x00F4	0x0828      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x00F5	0x00AB      	MOVWF      FARG_Lcd_Cmd_out_char
0x00F6	0x20A5      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x00F7	0x1683      	BSF        STATUS, 5
0x00F8	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x00F9	0x0008      	RETURN
; end of _Lcd_Chr_CP
_Mul_16X16_U:
;__Lib_Math.c,136 :: 		
;__Lib_Math.c,143 :: 		
0x00FA	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,144 :: 		
0x00FB	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,145 :: 		
0x00FC	0x01FB      	CLRF       R11
;__Lib_Math.c,146 :: 		
0x00FD	0x01FA      	CLRF       R10
;__Lib_Math.c,147 :: 		
0x00FE	0x01F9      	CLRF       R9
;__Lib_Math.c,148 :: 		
0x00FF	0x3080      	MOVLW      128
;__Lib_Math.c,149 :: 		
0x0100	0x00F8      	MOVWF      R8
;__Lib_Math.c,150 :: 		
0x0101	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,151 :: 		
0x0102	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,152 :: 		
0x0103	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,153 :: 		
0x0104	0x290E      	GOTO       $+10
;__Lib_Math.c,154 :: 		
0x0105	0x0874      	MOVF       R4, 0
;__Lib_Math.c,155 :: 		
0x0106	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,156 :: 		
0x0107	0x0875      	MOVF       R5, 0
;__Lib_Math.c,157 :: 		
0x0108	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,158 :: 		
0x0109	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,159 :: 		
0x010A	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,160 :: 		
0x010B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,161 :: 		
0x010C	0x0AFB      	INCF       R11, 1
;__Lib_Math.c,162 :: 		
0x010D	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,163 :: 		
0x010E	0x1FF0      	BTFSS      R0, 7
;__Lib_Math.c,164 :: 		
0x010F	0x2916      	GOTO       $+7
;__Lib_Math.c,165 :: 		
0x0110	0x0874      	MOVF       R4, 0
;__Lib_Math.c,166 :: 		
0x0111	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,167 :: 		
0x0112	0x0875      	MOVF       R5, 0
;__Lib_Math.c,168 :: 		
0x0113	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,169 :: 		
0x0114	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,170 :: 		
0x0115	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,171 :: 		
0x0116	0x0CFB      	RRF        R11, 1
;__Lib_Math.c,172 :: 		
0x0117	0x0CFA      	RRF        R10, 1
;__Lib_Math.c,173 :: 		
0x0118	0x0CF9      	RRF        R9, 1
;__Lib_Math.c,174 :: 		
0x0119	0x0CF8      	RRF        R8, 1
;__Lib_Math.c,175 :: 		
0x011A	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,176 :: 		
0x011B	0x2901      	GOTO       $-26
;__Lib_Math.c,177 :: 		
0x011C	0x087B      	MOVF       R11, 0
;__Lib_Math.c,178 :: 		
0x011D	0x00F3      	MOVWF      R3
;__Lib_Math.c,179 :: 		
0x011E	0x087A      	MOVF       R10, 0
;__Lib_Math.c,180 :: 		
0x011F	0x00F2      	MOVWF      R2
;__Lib_Math.c,181 :: 		
0x0120	0x0879      	MOVF       R9, 0
;__Lib_Math.c,182 :: 		
0x0121	0x00F1      	MOVWF      R1
;__Lib_Math.c,183 :: 		
0x0122	0x0878      	MOVF       R8, 0
;__Lib_Math.c,184 :: 		
0x0123	0x00F0      	MOVWF      R0
;__Lib_Math.c,187 :: 		
L_end_Mul_16X16_U:
0x0124	0x0008      	RETURN
; end of _Mul_16X16_U
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x0125	0x2937      	GOTO       L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x0126	0x3080      	MOVLW      128
0x0127	0x1283      	BCF        STATUS, 5
0x0128	0x1703      	BSF        STATUS, 6
0x0129	0x00A8      	MOVWF      FARG_Lcd_Chr_row
0x012A	0x294A      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x012B	0x30C0      	MOVLW      192
0x012C	0x00A8      	MOVWF      FARG_Lcd_Chr_row
0x012D	0x294A      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x012E	0x3094      	MOVLW      148
0x012F	0x00A8      	MOVWF      FARG_Lcd_Chr_row
0x0130	0x294A      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,70 :: 		
L_Lcd_Chr9:
0x0131	0x30D4      	MOVLW      212
0x0132	0x00A8      	MOVWF      FARG_Lcd_Chr_row
0x0133	0x294A      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,71 :: 		
L_Lcd_Chr10:
0x0134	0x3080      	MOVLW      128
0x0135	0x00A8      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,72 :: 		
0x0136	0x294A      	GOTO       L_Lcd_Chr5
L_Lcd_Chr4:
0x0137	0x1283      	BCF        STATUS, 5
0x0138	0x1703      	BSF        STATUS, 6
0x0139	0x0828      	MOVF       FARG_Lcd_Chr_row, 0
0x013A	0x3A01      	XORLW      1
0x013B	0x1903      	BTFSC      STATUS, 2
0x013C	0x2926      	GOTO       L_Lcd_Chr6
0x013D	0x0828      	MOVF       FARG_Lcd_Chr_row, 0
0x013E	0x3A02      	XORLW      2
0x013F	0x1903      	BTFSC      STATUS, 2
0x0140	0x292B      	GOTO       L_Lcd_Chr7
0x0141	0x0828      	MOVF       FARG_Lcd_Chr_row, 0
0x0142	0x3A03      	XORLW      3
0x0143	0x1903      	BTFSC      STATUS, 2
0x0144	0x292E      	GOTO       L_Lcd_Chr8
0x0145	0x0828      	MOVF       FARG_Lcd_Chr_row, 0
0x0146	0x3A04      	XORLW      4
0x0147	0x1903      	BTFSC      STATUS, 2
0x0148	0x2931      	GOTO       L_Lcd_Chr9
0x0149	0x2934      	GOTO       L_Lcd_Chr10
L_Lcd_Chr5:
;__Lib_Lcd.c,74 :: 		
0x014A	0x0329      	DECF       FARG_Lcd_Chr_column, 0
0x014B	0x00F0      	MOVWF      R0
0x014C	0x0828      	MOVF       FARG_Lcd_Chr_row, 0
0x014D	0x07F0      	ADDWF      R0, 1
0x014E	0x0870      	MOVF       R0, 0
0x014F	0x00A8      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,76 :: 		
0x0150	0x1683      	BSF        STATUS, 5
0x0151	0x1303      	BCF        STATUS, 6
0x0152	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,77 :: 		
0x0153	0x0870      	MOVF       R0, 0
0x0154	0x1283      	BCF        STATUS, 5
0x0155	0x1703      	BSF        STATUS, 6
0x0156	0x00AB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0157	0x20A5      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,79 :: 		
0x0158	0x1683      	BSF        STATUS, 5
0x0159	0x106F      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,80 :: 		
0x015A	0x1283      	BCF        STATUS, 5
0x015B	0x1703      	BSF        STATUS, 6
0x015C	0x082A      	MOVF       FARG_Lcd_Chr_out_char, 0
0x015D	0x00AB      	MOVWF      FARG_Lcd_Cmd_out_char
0x015E	0x20A5      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,81 :: 		
0x015F	0x1683      	BSF        STATUS, 5
0x0160	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,82 :: 		
L_end_Lcd_Chr:
0x0161	0x0008      	RETURN
; end of _Lcd_Chr
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x0162	0x1683      	BSF        STATUS, 5
0x0163	0x1303      	BCF        STATUS, 6
0x0164	0x086C      	MOVF       ___DoICPAddr+1, 0
0x0165	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x0166	0x086B      	MOVF       ___DoICPAddr, 0
0x0167	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x0168	0x0008      	RETURN
; end of _____DoICP
_procesarValor:
;ProyectoIntegrador.c,105 :: 		void procesarValor(int opc){
;ProyectoIntegrador.c,106 :: 		espacio = 48+valor;
0x0169	0x1283      	BCF        STATUS, 5
0x016A	0x1303      	BCF        STATUS, 6
0x016B	0x0850      	MOVF       _valor, 0
0x016C	0x3E30      	ADDLW      48
0x016D	0x00F1      	MOVWF      R1
0x016E	0x3000      	MOVLW      0
0x016F	0x1803      	BTFSC      STATUS, 0
0x0170	0x3E01      	ADDLW      1
0x0171	0x0751      	ADDWF      _valor+1, 0
0x0172	0x00F2      	MOVWF      R1+1
0x0173	0x0871      	MOVF       R1, 0
0x0174	0x00D2      	MOVWF      _espacio
0x0175	0x0872      	MOVF       R1+1, 0
0x0176	0x00D3      	MOVWF      _espacio+1
;ProyectoIntegrador.c,107 :: 		if(espacio == 58){//si valor excede el 9, significa que se hará uso del espacio en blanco a la derecha
0x0177	0x3000      	MOVLW      0
0x0178	0x0672      	XORWF      R1+1, 0
0x0179	0x1D03      	BTFSS      STATUS, 2
0x017A	0x297D      	GOTO       L__procesarValor113
0x017B	0x303A      	MOVLW      58
0x017C	0x0671      	XORWF      R1, 0
L__procesarValor113:
0x017D	0x1D03      	BTFSS      STATUS, 2
0x017E	0x2992      	GOTO       L_procesarValor4
;ProyectoIntegrador.c,109 :: 		valor = 0;
0x017F	0x01D0      	CLRF       _valor
0x0180	0x01D1      	CLRF       _valor+1
;ProyectoIntegrador.c,110 :: 		if(desp==0){//cuando sucede esto por primera vez, la variable decena trae el valor de -16, pero ahora se
0x0181	0x3000      	MOVLW      0
0x0182	0x064F      	XORWF      _desp+1, 0
0x0183	0x1D03      	BTFSS      STATUS, 2
0x0184	0x2987      	GOTO       L__procesarValor114
0x0185	0x3000      	MOVLW      0
0x0186	0x064E      	XORWF      _desp, 0
L__procesarValor114:
0x0187	0x1D03      	BTFSS      STATUS, 2
0x0188	0x298F      	GOTO       L_procesarValor5
;ProyectoIntegrador.c,112 :: 		decena = 0;
0x0189	0x01D4      	CLRF       _decena
0x018A	0x01D5      	CLRF       _decena+1
;ProyectoIntegrador.c,113 :: 		desp = 1; //desplazamiento se activa, para que más adelante la decena no se vuelva -16
0x018B	0x3001      	MOVLW      1
0x018C	0x00CE      	MOVWF      _desp
